ID,NM_UF,NM_MUNICIP,CD_GEOCODM_SUS,LONG,LAT
14905,RIO DE JANEIRO,APERIBÉ,330015,-42.1049166541126,-21.6194217697861
14907,RIO DE JANEIRO,ARARUAMA,330020,-42.3410960231634,-22.8774383873544
14916,RIO DE JANEIRO,AREAL,330022,-43.1010698051683,-22.2369120035668
14918,RIO DE JANEIRO,ARMAÇÃO DOS BÚZIOS,330023,-41.8877494680881,-22.7577637929238
14919,RIO DE JANEIRO,ARRAIAL DO CABO,330025,-42.0283359676368,-22.967638277584
14920,RIO DE JANEIRO,BARRA DO PIRAÍ,330030,-43.8284524538255,-22.469596292124
14927,RIO DE JANEIRO,BARRA MANSA,330040,-44.1724313736866,-22.5453011339305
14933,RIO DE JANEIRO,BELFORD ROXO,330045,-43.3996249708152,-22.7645559675461
14934,RIO DE JANEIRO,BOM JARDIM,330050,-42.4172114822868,-22.1533052283079
14938,RIO DE JANEIRO,BOM JESUS DO ITABAPOANA,330060,-41.6776797949817,-21.1344974418774
14944,RIO DE JANEIRO,CABO FRIO,330070,-42.0200748019026,-22.880764667133
14946,RIO DE JANEIRO,CACHOEIRAS DE MACACU,330080,-42.6631643572627,-22.4675708722497
14950,RIO DE JANEIRO,CAMBUCI,330090,-41.9086360046562,-21.5772767096589
14956,RIO DE JANEIRO,CARAPEBUS,330093,-41.6640105958578,-22.1825947273674
14960,RIO DE JANEIRO,COMENDADOR LEVY GASPARIAN,330095,-43.2172237155871,-22.0333589383828
14962,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,330100,-41.3304764918626,-21.7518986320641
14987,RIO DE JANEIRO,CANTAGALO,330110,-42.365977599021,-21.9818398587921
14992,RIO DE JANEIRO,CARDOSO MOREIRA,330115,-41.6132963462101,-21.4961573566676
14995,RIO DE JANEIRO,CARMO,330120,-42.6097176406817,-21.9293117801394
14999,RIO DE JANEIRO,CASIMIRO DE ABREU,330130,-42.204210544431,-22.4795365025548
15006,RIO DE JANEIRO,CONCEIÇÃO DE MACABU,330140,-41.8677585057148,-22.0878715265254
15008,RIO DE JANEIRO,CORDEIRO,330150,-42.3630305379077,-22.0277765631233
15009,RIO DE JANEIRO,DUAS BARRAS,330160,-42.515097631467,-22.0589060899401
15013,RIO DE JANEIRO,DUQUE DE CAXIAS,330170,-43.3098880717226,-22.7852532496542
15018,RIO DE JANEIRO,ENGENHEIRO PAULO DE FRONTIN,330180,-43.6794768289526,-22.5436846647273
15023,RIO DE JANEIRO,GUAPIMIRIM,330185,-42.9783297043207,-22.5195957941239
15027,RIO DE JANEIRO,IGUABA GRANDE,330187,-42.2221245423239,-22.8390569836941
15028,RIO DE JANEIRO,ITABORAÍ,330190,-42.8603434261964,-22.7458630174263
15036,RIO DE JANEIRO,ITAGUAÍ,330200,-43.7750406349418,-22.871250768422
15040,RIO DE JANEIRO,ITALVA,330205,-41.690964760493,-21.4251032779829
15042,RIO DE JANEIRO,ITAOCARA,330210,-42.0777295245708,-21.6705026732971
15048,RIO DE JANEIRO,ITAPERUNA,330220,-41.8862031766506,-21.2105910847538
15060,RIO DE JANEIRO,ITATIAIA,330225,-44.562771994177,-22.4970145997172
15064,RIO DE JANEIRO,JAPERI,330227,-43.6537858009828,-22.6448185711114
15065,RIO DE JANEIRO,LAJE DO MURIAÉ,330230,-42.1311744192347,-21.2057208352488
15066,RIO DE JANEIRO,MACAÉ,330240,-41.775064285476,-22.368704974385
15074,RIO DE JANEIRO,MACUCO,330245,-42.2570738797263,-21.9902295051434
15075,RIO DE JANEIRO,MAGÉ,330250,-43.0402461327151,-22.6543487574334
15082,RIO DE JANEIRO,MANGARATIBA,330260,-44.0411265453576,-22.9617119412403
15087,RIO DE JANEIRO,MARICÁ,330270,-42.819824114827,-22.916955337401
15090,RIO DE JANEIRO,MENDES,330280,-43.7214868876952,-22.5174226018979
15091,RIO DE JANEIRO,MESQUITA,330285,-43.4292237631069,-22.768087922635
15092,RIO DE JANEIRO,MIGUEL PEREIRA,330290,-43.4746761214594,-22.4554266084252
15095,RIO DE JANEIRO,MIRACEMA,330300,-42.1984114071903,-21.4111632991603
15098,RIO DE JANEIRO,NATIVIDADE,330310,-41.9764403133446,-21.0437569889655
15101,RIO DE JANEIRO,NILÓPOLIS,330320,-43.4166099808637,-22.8075142239115
15103,RIO DE JANEIRO,NITERÓI,330330,-43.0758231672735,-22.8964523851273
15104,RIO DE JANEIRO,NOVA FRIBURGO,330340,-42.5327712629633,-22.2864614591961
15112,RIO DE JANEIRO,NOVA IGUAÇU,330350,-43.4503453299191,-22.7598348262648
15113,RIO DE JANEIRO,PARACAMBI,330360,-43.7093845630292,-22.6097271620663
15115,RIO DE JANEIRO,PARAÍBA DO SUL,330370,-43.2895444648457,-22.1619815421833
15120,RIO DE JANEIRO,PARATY,330380,-44.7108585020174,-23.2194136073409
15129,RIO DE JANEIRO,PATY DO ALFERES,330385,-43.4248709167338,-22.4274146332335
15140,RIO DE JANEIRO,PETRÓPOLIS,330390,-43.177336576675,-22.5105986119618
15145,RIO DE JANEIRO,PINHEIRAL,330395,-44.0003545569539,-22.5156739857918
15147,RIO DE JANEIRO,PIRAÍ,330400,-43.8993511857657,-22.6287569098054
15151,RIO DE JANEIRO,PORCIÚNCULA,330410,-42.0401563585052,-20.9626076269766
15154,RIO DE JANEIRO,PORTO REAL,330411,-44.2969007349911,-22.432948423821
15156,RIO DE JANEIRO,QUATIS,330412,-44.2627113015842,-22.409918661677
15159,RIO DE JANEIRO,QUEIMADOS,330414,-43.5556695470827,-22.7174304900919
15160,RIO DE JANEIRO,QUISSAMÃ,330415,-41.4725094000999,-22.1066401655146
15164,RIO DE JANEIRO,RESENDE,330420,-44.4436134229207,-22.4711835861228
15172,RIO DE JANEIRO,RIO BONITO,330430,-42.6259978411627,-22.7112715025702
15175,RIO DE JANEIRO,RIO CLARO,330440,-44.1394056377073,-22.7317268340485
15184,RIO DE JANEIRO,RIO DAS FLORES,330450,-43.5764329481335,-22.171862243836
15192,RIO DE JANEIRO,RIO DAS OSTRAS,330452,-41.9369671271608,-22.523941185805
15196,RIO DE JANEIRO,RIO DE JANEIRO,330455,-43.2278751249952,-22.8766521181865
15197,RIO DE JANEIRO,SANTA MARIA MADALENA,330460,-42.0144449928315,-21.9660944706772
15204,RIO DE JANEIRO,SANTO ANTÔNIO DE PÁDUA,330470,-42.1779115574882,-21.5359771209445
15215,RIO DE JANEIRO,SÃO FRANCISCO DE ITABAPOANA,330475,-41.1177197285798,-21.4801381322882
15227,RIO DE JANEIRO,SÃO FIDÉLIS,330480,-41.7555923123358,-21.6436265466279
15237,RIO DE JANEIRO,SÃO GONÇALO,330490,-43.0323350619648,-22.8295473130261
15242,RIO DE JANEIRO,SÃO JOÃO DA BARRA,330500,-41.050348145484,-21.6404577523792
15249,RIO DE JANEIRO,SÃO JOÃO DE MERITI,330510,-43.3718846030395,-22.802330808634
15252,RIO DE JANEIRO,SÃO JOSÉ DE UBÁ,330513,-41.9412319414458,-21.3602211097574
15253,RIO DE JANEIRO,SÃO JOSÉ DO VALE DO RIO PRETO,330515,-42.9233683013341,-22.1497395104903
15258,RIO DE JANEIRO,SÃO PEDRO DA ALDEIA,330520,-42.1035286701542,-22.8372031947556
15259,RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,330530,-42.1302196784864,-21.9544634108549
15262,RIO DE JANEIRO,SAPUCAIA,330540,-42.9141753604676,-21.9939558651925
15266,RIO DE JANEIRO,SAQUAREMA,330550,-42.4966940500338,-22.9311274159959
15269,RIO DE JANEIRO,SEROPÉDICA,330555,-43.7019252211618,-22.7430110680241
15271,RIO DE JANEIRO,SILVA JARDIM,330560,-42.3898259273538,-22.6543301984185
15276,RIO DE JANEIRO,SUMIDOURO,330570,-42.6786255811119,-22.0506694108347
15280,RIO DE JANEIRO,TANGUÁ,330575,-42.7211719484129,-22.7339374343164
15281,RIO DE JANEIRO,TERESÓPOLIS,330580,-42.9629567139024,-22.4090049455632
15287,RIO DE JANEIRO,TRAJANO DE MORAES,330590,-42.0548152486202,-22.0613797048486
15293,RIO DE JANEIRO,TRÊS RIOS,330600,-43.2116094443354,-22.1174480009517
15296,RIO DE JANEIRO,VALENÇA,330610,-43.7048436783271,-22.2447194311794
15303,RIO DE JANEIRO,VARRE-SAI,330615,-41.8632953882988,-20.9292976638709
15304,RIO DE JANEIRO,VASSOURAS,330620,-43.6638740245132,-22.4090075730264
15315,RIO DE JANEIRO,VOLTA REDONDA,330630,-44.0935218846871,-22.5099676007978
15316,SÃO PAULO,ADAMANTINA,350010,-51.0733647495818,-21.68831148
15322,SÃO PAULO,ADOLFO,350020,-49.6497214255596,-21.232729777348
15325,SÃO PAULO,AGUAÍ,350030,-46.9796931092697,-22.059684
15328,SÃO PAULO,ÁGUAS DA PRATA,350040,-46.7167667096261,-21.934829
15333,SÃO PAULO,ÁGUAS DE LINDÓIA,350050,-46.6317788359222,-22.4738220361707
